country,technology,year,spending_usd_ppp_millions,pub_count
Australia,Biofuels,1987,0.0,1
Australia,Biofuels,1989,0.851,1
Australia,Biofuels,1993,0.799,2
Australia,Biofuels,1995,3.227,2
Australia,Biofuels,1997,4.97,6
Australia,Biofuels,2001,0.0,4
Australia,Biofuels,2003,0.0,14
Australia,Biofuels,2004,12.199,9
Australia,Biofuels,2005,1.615,11
Australia,Biofuels,2006,2.316,16
Australia,Biofuels,2007,7.514,65
Australia,Biofuels,2008,6.112,79
Australia,Biofuels,2009,9.156,116
Australia,Biofuels,2010,12.632,154
Australia,Biofuels,2011,121.741,199
Australia,Biofuels,2012,37.174,324
Australia,Biofuels,2013,55.347,388
Australia,Biofuels,2014,6.299,416
Australia,Biofuels,2015,5.514,497
Australia,Biofuels,2016,6.271,525
Australia,Biofuels,2017,5.075,560
Australia,Biofuels,2018,5.923,568
Australia,Biofuels,2019,13.313,711
Australia,Biofuels,2020,4.957,847
Australia,Biofuels,2021,6.256,864
Australia,Biofuels,2022,1.249,919
Australia,Biofuels,2023,0.928,1190
Austria,Biofuels,1984,7.078,1
Austria,Biofuels,1988,9.176,1
Austria,Biofuels,1991,6.986,2
Austria,Biofuels,1992,4.553,2
Austria,Biofuels,1994,8.627,2
Austria,Biofuels,1995,10.796,4
Austria,Biofuels,1996,7.574,10
Austria,Biofuels,1997,9.769,5
Austria,Biofuels,1998,10.71,7
Austria,Biofuels,1999,15.837,7
Austria,Biofuels,2000,8.183,3
Austria,Biofuels,2001,11.345,9
Austria,Biofuels,2002,13.219,8
Austria,Biofuels,2003,11.771,9
Austria,Biofuels,2004,15.743,9
Austria,Biofuels,2005,20.131,12
Austria,Biofuels,2006,23.689,25
Austria,Biofuels,2007,24.035,29
Austria,Biofuels,2008,34.379,49
Austria,Biofuels,2009,39.583,79
Austria,Biofuels,2010,28.24,83
Austria,Biofuels,2011,25.721,103
Austria,Biofuels,2012,25.796,123
Austria,Biofuels,2013,15.523,169
Austria,Biofuels,2014,16.992,182
Austria,Biofuels,2015,17.961,168
Austria,Biofuels,2016,19.278,246
Austria,Biofuels,2017,15.516,240
Austria,Biofuels,2018,13.207,290
Austria,Biofuels,2019,17.007,315
Austria,Biofuels,2020,16.667,352
Austria,Biofuels,2021,13.593,364
Austria,Biofuels,2022,14.994,381
Austria,Biofuels,2023,24.763,485
Belgium,Biofuels,1976,1.029,1
Belgium,Biofuels,1979,2.963,1
Belgium,Biofuels,1981,5.021,1
Belgium,Biofuels,1986,1.957,1
Belgium,Biofuels,1991,0.412,1
Belgium,Biofuels,1992,3.386,1
Belgium,Biofuels,1994,4.166,1
Belgium,Biofuels,1995,4.551,2
Belgium,Biofuels,1996,1.649,2
Belgium,Biofuels,1997,1.63,1
Belgium,Biofuels,1998,1.205,3
Belgium,Biofuels,1999,0.119,1
Belgium,Biofuels,2007,7.443,34
Belgium,Biofuels,2010,0.0,88
Belgium,Biofuels,2011,5.878,125
Belgium,Biofuels,2012,9.397,150
Belgium,Biofuels,2013,14.202,159
Belgium,Biofuels,2014,18.915,177
Belgium,Biofuels,2015,10.048,226
Belgium,Biofuels,2016,11.924,225
Belgium,Biofuels,2017,8.572,266
Belgium,Biofuels,2018,7.511,279
Belgium,Biofuels,2019,1.415,288
Belgium,Biofuels,2020,5.728,391
Belgium,Biofuels,2021,0.185,450
Belgium,Biofuels,2022,5.197,448
Belgium,Biofuels,2023,7.608,618
Brazil,Biofuels,2018,136.771,1874
Brazil,Biofuels,2019,143.408,2120
Brazil,Biofuels,2020,118.608,2286
Brazil,Biofuels,2021,99.716,2420
Brazil,Biofuels,2022,103.178,2375
Brazil,Biofuels,2023,110.396,2953
Canada,Biofuels,1977,8.944,2
Canada,Biofuels,1978,28.028,1
Canada,Biofuels,1981,54.496,1
Canada,Biofuels,1982,60.091,3
Canada,Biofuels,1983,65.845,3
Canada,Biofuels,1984,47.984,4
Canada,Biofuels,1986,22.512,3
Canada,Biofuels,1987,20.459,4
Canada,Biofuels,1988,18.005,5
Canada,Biofuels,1989,17.2,3
Canada,Biofuels,1990,12.12,5
Canada,Biofuels,1991,11.585,2
Canada,Biofuels,1992,10.725,5
Canada,Biofuels,1993,10.418,3
Canada,Biofuels,1994,12.962,5
Canada,Biofuels,1995,12.675,7
Canada,Biofuels,1996,12.858,7
Canada,Biofuels,1997,8.531,5
Canada,Biofuels,1998,9.459,2
Canada,Biofuels,1999,9.385,8
Canada,Biofuels,2000,15.888,9
Canada,Biofuels,2001,13.722,9
Canada,Biofuels,2002,20.266,13
Canada,Biofuels,2003,29.304,17
Canada,Biofuels,2004,19.485,25
Canada,Biofuels,2005,30.325,38
Canada,Biofuels,2006,66.448,59
Canada,Biofuels,2007,55.462,83
Canada,Biofuels,2008,64.14,121
Canada,Biofuels,2009,72.836,181
Canada,Biofuels,2010,73.605,255
Canada,Biofuels,2011,85.223,369
Canada,Biofuels,2012,154.536,414
Canada,Biofuels,2013,53.233,460
Canada,Biofuels,2014,38.774,525
Canada,Biofuels,2015,92.535,539
Canada,Biofuels,2016,88.053,590
Canada,Biofuels,2017,55.455,619
Canada,Biofuels,2018,47.249,705
Canada,Biofuels,2019,53.365,637
Canada,Biofuels,2020,65.613,861
Canada,Biofuels,2021,65.429,1097
Canada,Biofuels,2022,72.01,949
Canada,Biofuels,2023,65.888,1225
Chile,Biofuels,2014,4.161,60
Chile,Biofuels,2015,4.424,85
Chile,Biofuels,2016,0.0,79
Chile,Biofuels,2017,0.0,94
Chile,Biofuels,2018,0.0,94
Chile,Biofuels,2019,0.577,104
Chile,Biofuels,2020,0.0,166
Chile,Biofuels,2021,0.0,169
Chile,Biofuels,2022,0.0,172
Chile,Biofuels,2023,0.0,274
Czech Republic,Biofuels,2003,0.0,4
Czech Republic,Biofuels,2004,0.0,5
Czech Republic,Biofuels,2005,1.53,9
Czech Republic,Biofuels,2006,2.91,8
Czech Republic,Biofuels,2007,2.227,12
Czech Republic,Biofuels,2008,12.615,22
Czech Republic,Biofuels,2009,15.551,30
Czech Republic,Biofuels,2010,17.38,39
Czech Republic,Biofuels,2011,18.858,60
Czech Republic,Biofuels,2012,15.112,91
Czech Republic,Biofuels,2013,7.229,124
Czech Republic,Biofuels,2014,5.548,126
Czech Republic,Biofuels,2015,8.182,137
Czech Republic,Biofuels,2016,7.31,139
Czech Republic,Biofuels,2017,6.766,180
Czech Republic,Biofuels,2018,8.331,186
Czech Republic,Biofuels,2019,16.382,266
Czech Republic,Biofuels,2020,18.972,323
Czech Republic,Biofuels,2021,15.155,367
Czech Republic,Biofuels,2022,8.141,395
Czech Republic,Biofuels,2023,4.465,465
Denmark,Biofuels,1989,3.933,1
Denmark,Biofuels,1993,15.724,1
Denmark,Biofuels,1994,15.48,2
Denmark,Biofuels,1996,11.237,1
Denmark,Biofuels,1997,10.732,4
Denmark,Biofuels,1998,9.988,1
Denmark,Biofuels,1999,9.466,2
Denmark,Biofuels,2000,8.363,2
Denmark,Biofuels,2001,10.21,4
Denmark,Biofuels,2002,1.319,5
Denmark,Biofuels,2003,2.35,6
Denmark,Biofuels,2004,17.475,8
Denmark,Biofuels,2005,18.796,10
Denmark,Biofuels,2006,22.838,13
Denmark,Biofuels,2007,26.652,38
Denmark,Biofuels,2008,37.332,52
Denmark,Biofuels,2009,37.639,78
Denmark,Biofuels,2010,40.453,103
Denmark,Biofuels,2011,67.031,169
Denmark,Biofuels,2012,44.191,182
Denmark,Biofuels,2013,55.228,231
Denmark,Biofuels,2014,28.218,237
Denmark,Biofuels,2015,34.504,285
Denmark,Biofuels,2016,14.196,313
Denmark,Biofuels,2017,5.26,350
Denmark,Biofuels,2018,10.141,375
Denmark,Biofuels,2019,19.757,443
Denmark,Biofuels,2020,17.509,558
Denmark,Biofuels,2021,31.309,562
Denmark,Biofuels,2022,5.713,563
Denmark,Biofuels,2023,23.488,733
Estonia,Biofuels,2011,3.282,9
Estonia,Biofuels,2012,0.0,6
Estonia,Biofuels,2016,0.324,27
Estonia,Biofuels,2018,1.325,33
Estonia,Biofuels,2019,0.26,61
Estonia,Biofuels,2020,0.258,74
Estonia,Biofuels,2021,0.0,60
Finland,Biofuels,1992,3.068,2
Finland,Biofuels,1993,7.952,6
Finland,Biofuels,1995,9.575,1
Finland,Biofuels,1996,11.983,3
Finland,Biofuels,1997,19.14,7
Finland,Biofuels,1998,12.348,4
Finland,Biofuels,1999,13.755,3
Finland,Biofuels,2000,15.984,3
Finland,Biofuels,2001,13.377,7
Finland,Biofuels,2002,15.314,8
Finland,Biofuels,2003,17.409,16
Finland,Biofuels,2004,28.886,12
Finland,Biofuels,2005,19.668,16
Finland,Biofuels,2006,52.148,23
Finland,Biofuels,2007,53.82,20
Finland,Biofuels,2008,45.798,53
Finland,Biofuels,2009,34.991,62
Finland,Biofuels,2010,55.968,96
Finland,Biofuels,2011,73.481,137
Finland,Biofuels,2012,39.37,146
Finland,Biofuels,2013,36.069,153
Finland,Biofuels,2014,32.319,184
Finland,Biofuels,2015,42.705,229
