country,technology,year,pub_count
Australia,Hydrogen,1974,1
Australia,Hydrogen,1976,2
Australia,Hydrogen,1977,4
Australia,Hydrogen,1978,2
Australia,Hydrogen,1979,3
Australia,Hydrogen,1980,2
Australia,Hydrogen,1982,1
Australia,Hydrogen,1983,6
Australia,Hydrogen,1985,2
Australia,Hydrogen,1986,4
Australia,Hydrogen,1987,1
Australia,Hydrogen,1989,3
Australia,Hydrogen,1990,1
Australia,Hydrogen,1991,2
Australia,Hydrogen,1992,4
Australia,Hydrogen,1994,1
Australia,Hydrogen,1995,3
Australia,Hydrogen,1997,2
Australia,Hydrogen,1998,6
Australia,Hydrogen,1999,2
Australia,Hydrogen,2000,2
Australia,Hydrogen,2001,5
Australia,Hydrogen,2002,4
Australia,Hydrogen,2003,7
Australia,Hydrogen,2004,8
Australia,Hydrogen,2005,6
Australia,Hydrogen,2006,21
Australia,Hydrogen,2007,37
Australia,Hydrogen,2008,32
Australia,Hydrogen,2009,36
Australia,Hydrogen,2010,39
Australia,Hydrogen,2011,84
Australia,Hydrogen,2012,67
Australia,Hydrogen,2013,94
Australia,Hydrogen,2014,122
Australia,Hydrogen,2015,148
Australia,Hydrogen,2016,171
Australia,Hydrogen,2017,250
Australia,Hydrogen,2018,307
Australia,Hydrogen,2019,351
Australia,Hydrogen,2020,409
Australia,Hydrogen,2021,482
Australia,Hydrogen,2022,575
Australia,Hydrogen,2023,1011
Australia,Hydrogen,2024,895
Austria,Hydrogen,1976,1
Austria,Hydrogen,1978,1
Austria,Hydrogen,1979,1
Austria,Hydrogen,1980,1
Austria,Hydrogen,1983,1
Austria,Hydrogen,1984,2
Austria,Hydrogen,1985,1
Austria,Hydrogen,1986,1
Austria,Hydrogen,1988,5
Austria,Hydrogen,1989,1
Austria,Hydrogen,1990,1
Austria,Hydrogen,1991,3
Austria,Hydrogen,1992,1
Austria,Hydrogen,1993,4
Austria,Hydrogen,1995,1
Austria,Hydrogen,1996,3
Austria,Hydrogen,1997,2
Austria,Hydrogen,1999,2
Austria,Hydrogen,2000,5
Austria,Hydrogen,2002,3
Austria,Hydrogen,2003,3
Austria,Hydrogen,2004,4
Austria,Hydrogen,2005,4
Austria,Hydrogen,2006,4
Austria,Hydrogen,2007,2
Austria,Hydrogen,2008,6
Austria,Hydrogen,2009,6
Austria,Hydrogen,2010,12
Austria,Hydrogen,2011,10
Austria,Hydrogen,2012,16
Austria,Hydrogen,2013,25
Austria,Hydrogen,2014,16
Austria,Hydrogen,2015,31
Austria,Hydrogen,2016,54
Austria,Hydrogen,2017,41
Austria,Hydrogen,2018,68
Austria,Hydrogen,2019,78
Austria,Hydrogen,2020,88
