country,total_spending_1974_2023,corr_HHI_pubs_contemp,corr_HHI_pubs_lag3,mean_HHI_1974_2023,cluster,pub_growth_ratio,early_share__Biofuels,recent_share__Biofuels,delta_share__Biofuels,early_share__CO2 capture & storage,recent_share__CO2 capture & storage,delta_share__CO2 capture & storage,early_share__Geothermal,recent_share__Geothermal,delta_share__Geothermal,early_share__Hydro,recent_share__Hydro,delta_share__Hydro,early_share__Hydrogen & fuel cells,recent_share__Hydrogen & fuel cells,delta_share__Hydrogen & fuel cells,early_share__Nuclear,recent_share__Nuclear,delta_share__Nuclear,early_share__Ocean,recent_share__Ocean,delta_share__Ocean,early_share__Solar,recent_share__Solar,delta_share__Solar,early_share__Wind,recent_share__Wind,delta_share__Wind
Australia,4080.761,-0.37066978436133446,-0.4243038785558085,0.40493490931669757,2.0,32.42162162162162,0.07984509565921044,0.03782018660864464,-0.0420249090505658,0.0,0.2010210267996351,0.2010210267996351,0.09302352465175422,0.0027681789254411634,-0.09025534572631305,0.022079648575226863,0.0008068059179677764,-0.021272842657259088,0.00445060979134154,0.4631610794970446,0.45871046970570306,0.42765158083347776,0.07440118424270947,-0.3532503965907683,0.009438760765273682,0.010600919712378327,0.0011621589471046447,0.3114964452921796,0.18685671428289904,-0.12463973100928058,0.05201433443153573,0.022563904013279838,-0.029450430418255895
Austria,1876.448,-0.2697767864077859,-0.5744924714615418,0.36990335876577324,2.0,19.05244122965642,0.4521344952771427,0.2056957219492774,-0.24643877332786532,0.0003458835637817728,0.020158923653438077,0.019813040089656304,0.00521918613316236,0.020140453704045738,0.014921267570883377,0.029307304892143386,0.05021158353137223,0.020904278639228842,0.06715202848055882,0.49719051547576537,0.4300384869952065,0.23832221163012393,0.031113655859694053,-0.20720855577042988,0.0,1.2313299594892442e-05,1.2313299594892442e-05,0.17880774216770573,0.1494321516670155,-0.02937559050069022,0.0287111478553813,0.026044680859796665,-0.002666466995584635
Belgium,7672.833,-0.7394809466144155,-0.5232566178734104,0.7503236411158157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1970.0059999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,20904.455,-0.6959528276224038,-0.74356033809057,0.5697272605478054,0.0,17.673137460650576,0.09053181387181246,0.12841679494886665,0.037884981077054194,0.028942948604122814,0.19774478154960262,0.16880183294547982,0.004884183988944436,0.01784854244779812,0.012964358458853683,0.03219743361012013,0.04220246927308297,0.01000503566296284,0.22903166262283275,0.14524649294418943,-0.08378516967864333,0.5313969720726303,0.37691615382744276,-0.1544808182451875,0.00052709041179728,0.01330509387477109,0.01277800346297381,0.057198784674091785,0.06120329282743235,0.004004508153340566,0.025289110143647923,0.017116378306813958,-0.008172731836833966
Chile,115.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,1516.476,-0.2886599630895753,-0.03044857953662576,0.532085686342251,0.0,47.86294416243655,0.03934577997222651,0.10723524993741132,0.0678894699651848,0.0,0.037488360308998894,0.037488360308998894,0.0,0.011704230873833855,0.011704230873833855,0.0,0.008343654709879763,0.008343654709879763,0.023453170806974233,0.15222404401439207,0.12877087320741784,0.7996708326904285,0.6539630183527383,-0.1457078143376902,0.0,0.0,0.0,0.08049169366867252,0.022680512020326157,-0.057811181648346366,0.0570385228616983,0.006360929782419579,-0.050677593079278715
Denmark,2950.152,-0.3091387268986631,-0.3576920476736861,0.3533668637917115,0.0,34.329351535836174,0.15974239412933802,0.1796206158002627,0.01987822167092468,0.0054218446283879704,0.25823511514214587,0.2528132705137579,0.0,0.006023915904855683,0.006023915904855683,0.000491405857557822,0.00018974536172456562,-0.00030166049583325643,0.36731768842684603,0.1907922900800459,-0.17652539834680014,0.09388581911896389,0.0,-0.09388581911896389,0.029053006311835234,0.029272383128508203,0.00021937681667296913,0.07924465459628278,0.03810053574769326,-0.041144118848589525,0.2648431869307882,0.2977653988347637,0.03292221190397554
Estonia,42.532000000000004,0.37670043241218815,0.24549709336256895,0.3861799252341991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2031.118,-0.45168145517091335,-0.4844457367531425,0.39897873865987765,1.0,29.910526315789475,0.45672320768814784,0.27515012675061296,-0.18157308093753488,0.0,0.0,0.0,0.0,0.020550222333042423,0.020550222333042423,0.0837671263978732,0.004714187757137513,-0.07905293864073569,0.0,0.06475449860782112,0.06475449860782112,0.3883208183518202,0.4551152183850725,0.06679440003325232,0.0,0.0,0.0,0.01273514611361319,0.10369914391389268,0.09096399780027949,0.05845370144854546,0.07601660225242074,0.017562900803875278
